gene.name ,group
Kif5a,stringent
Apc,stringent
Rapgef4,stringent
Pclo,stringent
Cdk16,stringent
Marf1,stringent
Map1b,stringent
Unc13c,stringent
Ank2,stringent
Pten,stringent
Ank3,stringent
Shank1,stringent
Sptbn2,stringent
Cyfip2,stringent
Sptbn1,stringent
Nckap1,stringent
Kif1a,stringent
Mbp,stringent
Tshz2,stringent
Huwe1,stringent
Pde2a,stringent
Agap2,stringent
Pum2,stringent
Pkp4,stringent
Zfr,stringent
Bsn,stringent
Hivep2,stringent
Dlg4,stringent
Map1a,stringent
Map2,stringent
Nsmf,stringent
Dennd5a,stringent
Tbc1d9b,stringent
Rasgrf1,stringent
Dlg2,stringent
Lrrc7,stringent
Fth1,stringent
2610507B11Rik,stringent
Nf1,stringent
Adcy1,stringent
Mobp,stringent
Usp34,stringent
Camk2n1,stringent
Nisch,stringent
Usp9x,stringent
Fbxl16,stringent
Gm15800,stringent
Brsk1,stringent
Wnk1,stringent
Camk2a,stringent
Dlgap1,stringent
Ttr,stringent
Arhgap32,stringent
Akap11,stringent
Chd3,stringent
Sipa1l1,stringent
Macf1,stringent
Unc80,stringent
Cnksr2,stringent
Tmem184c,stringent
Mapk8ip1,stringent
Kcnma1,stringent
Ids,stringent
Usf3,stringent
Nbea,stringent
Dst,stringent
Wac,stringent
4932438A13Rik,stringent
Trak2,stringent
Ube3b,stringent
Arhgap21,stringent
Plekhm2,stringent
Kif1b,stringent
Grin2a,stringent
Mprip,stringent
Wdfy3,stringent
Ptprj,stringent
Srrm2,stringent
Prr14l,stringent
Ulk2,stringent
Pcnx,stringent
Prrc2b,stringent
Arhgap5,stringent
Itpr1,stringent
Csnk1g2,stringent
Crebbp,stringent
Mycbp2,stringent
Mapk3,stringent
Eif4g2,stringent
Kansl1,stringent
Ttc3,stringent
Camta2,stringent
Lingo1,stringent
Lmtk2,stringent
Hipk1,stringent
Panx2,stringent
Myo5a,stringent
Arhgap35,stringent
Fry,stringent
Akap6,stringent
Xpo7,stringent
Rc3h2,stringent
Fam171b,stringent
Mast2,stringent
Aak1,stringent
Med14,stringent
Ncoa1,stringent
Prrc2a,stringent
Dpp8,stringent
Akt3,stringent
Ralgapa1,stringent
Rasgrp1,stringent
Rnf157,stringent
Ralgapb,stringent
Usp32,stringent
Adgrl1,stringent
Zfp148,stringent
Dync1h1,stringent
Ncor1,stringent
Rc3h1,stringent
Syngap1,stringent
Shank2,stringent
Bmpr2,stringent
Aff4,stringent
Lrrc8b,stringent
Htt,stringent
Dock9,stringent
Tshz3,stringent
Clasp2,stringent
Ankrd13c,stringent
Eef2,stringent
Trrap,stringent
Ctnnd2,stringent
Uhrf1bp1l,stringent
Ndst1,stringent
Vps13a,stringent
Ttbk2,stringent
Erbb2ip,stringent
Ubr4,stringent
Dmxl2,stringent
Cdkl5,stringent
Ccny,stringent
Xpr1,stringent
Zmiz1,stringent
Git1,stringent
Iqsec1,stringent
Arid1a,stringent
Zfp365,stringent
Hipk3,stringent
Ddn,stringent
Iqsec2,stringent
Grik5,stringent
Kcnh7,stringent
Cdc42bpa,stringent
Herc2,stringent
Rapgef1,stringent
Med13,stringent
Usp31,stringent
Ash1l,stringent
Npas2,stringent
Tanc2,stringent
Adgrb2,stringent
Gabra5,stringent
R3hdm1,stringent
Cep170b,stringent
Zmiz2,stringent
Ppp2r2c,stringent
Zeb2,stringent
Epb41l1,stringent
Stox2,stringent
Ppargc1a,stringent
Arfgef1,stringent
Lnpep,stringent
Atp2b2,stringent
Prpf8,stringent
Med13l,stringent
Arhgef17,stringent
Srgap3,stringent
Kif5c,stringent
Dmxl1,stringent
Pds5b,stringent
Ubr3,stringent
Nav3,stringent
Dock3,stringent
Frs2,stringent
Pitpnm2,stringent
Sptb,stringent
Hcn2,stringent
Camsap2,stringent
Kmt2d,stringent
Myo9a,stringent
Tcf25,stringent
Xpo6,stringent
Shank3,stringent
Ogdh,stringent
Prkce,stringent
Tulp4,stringent
Fmn2,stringent
Ppp1r9b,stringent
Ncor2,stringent
Herc1,stringent
Hivep1,stringent
Zfhx2,stringent
Rnf10,stringent
9930021J03Rik,stringent
Agtpbp1,stringent
Cmip,stringent
Sgsm2,stringent
Shc3,stringent
Hcfc1,stringent
Scmh1,stringent
Rasgef1a,stringent
Nedd4l,stringent
Zyg11b,stringent
Nr3c2,stringent
Zhx1,stringent
Nfat5,stringent
Pcdh11x,stringent
Nipbl,stringent
Birc6,stringent
Son,stringent
Tcf20,stringent
Ncoa6,stringent
Dopey2,stringent
Arel1,stringent
Frmpd4,stringent
Ntng2,stringent
Ndst3,stringent
Zbtb20,stringent
Sptan1,stringent
Kif5b,stringent
Pi4ka,stringent
Atn1,stringent
Dlgap3,stringent
Slc25a23,stringent
Vps13d,stringent
Kalrn,stringent
Sbf1,stringent
Ryr2,stringent
Snap91,stringent
Prrc2c,stringent
Syt7,stringent
Trip12,stringent
Large,stringent
Gm996,stringent
Ubap2l,stringent
Zfp106,stringent
Mon2,stringent
Pik3ca,stringent
Dgkz,stringent
Zfpm1,stringent
Mical2,stringent
Wnk3,stringent
Pacs2,stringent
Cacng7,stringent
Pcdh9,stringent
Ankrd12,stringent
Lrrtm2,stringent
Vps13b,stringent
Sphkap,stringent
Tnk2,stringent
Cnot1,stringent
Arap2,stringent
Dennd4a,stringent
Lrrc4c,stringent
Anks1b,stringent
Kmt2c,stringent
Aco2,stringent
Zmym2,stringent
Nsd1,stringent
Scn8a,stringent
Dynll2,stringent
Grin2b,stringent
Chst15,stringent
Trim37,stringent
Ranbp2,stringent
Clmn,stringent
Arl2bp,stringent
Zfp804a,stringent
Tlk1,stringent
Prkcb,stringent
Unc79,stringent
Ptpn4,stringent
Lyst,stringent
Stxbp5l,stringent
Rb1cc1,stringent
Ptprs,stringent
Dzip1,stringent
Pcdhac2,stringent
Tesk1,stringent
Zfp770,stringent
Mbd5,stringent
Trappc10,stringent
Rapgef2,stringent
Adgrl2,stringent
R3hdm2,stringent
Tnpo2,stringent
Scaf1,stringent
Foxk2,stringent
Dlg1,stringent
Crtc1,stringent
Sorbs2,stringent
Ncoa2,stringent
Tsc2,stringent
Slc4a4,stringent
Zc3h7b,stringent
Dock4,stringent
Sep-03,stringent
Stxbp1,stringent
Aff2,stringent
Ep400,stringent
Cab39,stringent
Fam179b,stringent
Trak1,stringent
Zfp236,stringent
Ttbk1,stringent
Pip5k1c,stringent
Ndst4,stringent
Ankrd17,stringent
Ocrl,stringent
Scn2a1,stringent
Abr,stringent
Dym,stringent
Zfp644,stringent
Ap2a2,stringent
Pbrm1,stringent
Parp6,stringent
Me1,High_binding
Ptgds,High_binding
Gltscr1l,High_binding
Ndrg2,High_binding
Cnih2,High_binding
Sorbs1,High_binding
Dlgap4,High_binding
Ep300,High_binding
Arhgap20,High_binding
Hipk2,High_binding
Kmt2e,High_binding
Smg7,High_binding
Cic,High_binding
Lgi2,High_binding
Apod,High_binding
Ssbp3,High_binding
Plp1,High_binding
Adnp,High_binding
Ube4a,High_binding
Lrrc8d,High_binding
B3galt1,High_binding
Qk,High_binding
Bcr,High_binding
Emsy,High_binding
Srcin1,High_binding
Asap1,High_binding
Nr2c2,High_binding
Anapc1,High_binding
Omg,High_binding
Arhgef4,High_binding
Usp6nl,High_binding
Clock,High_binding
Arid2,High_binding
Ubap2,High_binding
Prex2,High_binding
Ago2,High_binding
Zdbf2,High_binding
Lrrc4b,High_binding
Plec,High_binding
C77370,High_binding
Rims1,High_binding
Mtor,High_binding
Tenm3,High_binding
Cacnb4,High_binding
Atmin,High_binding
Mkl2,High_binding
Smg1,High_binding
Ick,High_binding
Kmt2a,High_binding
Chd5,High_binding
Ubr5,High_binding
Myo6,High_binding
Dmd,High_binding
Dnajc6,High_binding
Arhgef7,High_binding
Ube3c,High_binding
Gnb1,High_binding
Kcnb1,High_binding
Dock10,High_binding
Kctd1,High_binding
Cdk14,High_binding
Iqsec3,High_binding
Ppp1r37,High_binding
Prr12,High_binding
Spred1,High_binding
Tcf4,High_binding
Gid4,High_binding
Cacna1a,High_binding
Abca2,High_binding
Apba1,High_binding
9430020K01Rik,High_binding
Nfix,High_binding
Cit,High_binding
Auts2,High_binding
Spire1,High_binding
Samd4b,High_binding
Atxn2,High_binding
Nlgn2,High_binding
Srcap,High_binding
Rims2,High_binding
Ddx6,High_binding
Nrd1,High_binding
Magi2,High_binding
Fem1b,High_binding
Utrn,High_binding
Tex2,High_binding
Cdk5r2,High_binding
Scn1a,High_binding
Zfp458,High_binding
Drosha,High_binding
Wdtc1,High_binding
Dscam,High_binding
Tns3,High_binding
Setx,High_binding
Pcm1,High_binding
Sgip1,High_binding
Nr4a2,High_binding
Nup153,High_binding
Secisbp2l,High_binding
Fam120a,High_binding
Lrrc4,High_binding
Rapgefl1,High_binding
Cltc,High_binding
Psd,High_binding
Celf4,High_binding
Rasal2,High_binding
Pabpc1,High_binding
Ttll7,High_binding
Cacnb3,High_binding
Wwp1,High_binding
Hectd1,High_binding
Pde4a,High_binding
Prickle2,High_binding
Spen,High_binding
Slc17a7,High_binding
Bptf,High_binding
Stxbp5,High_binding
Arfgef3,High_binding
Pde8b,High_binding
Itsn1,High_binding
Fus,High_binding
Ptch1,High_binding
Snx13,High_binding
Clvs1,High_binding
Ppp2r3a,High_binding
Cacna1i,High_binding
Ssfa2,High_binding
Sos1,High_binding
Nrip1,High_binding
Srebf2,High_binding
Slc12a6,High_binding
Peak1,High_binding
Vps13c,High_binding
Bap1,High_binding
Fasn,High_binding
Arhgap33,High_binding
Rprd2,High_binding
2010300C02Rik,High_binding
Neurl1a,High_binding
Paxip1,High_binding
Ralgds,High_binding
Adrbk1,High_binding
Ube4b,High_binding
Ptprt,High_binding
Cobl,High_binding
Chn2,High_binding
Fat3,High_binding
Map3k12,High_binding
Clec16a,High_binding
Sobp,High_binding
Gnptab,High_binding
Celsr2,High_binding
Rph3a,High_binding
Trim33,High_binding
Brinp1,High_binding
Anapc5,High_binding
Braf,High_binding
Sipa1l3,High_binding
Tjp1,High_binding
Wnk2,High_binding
Zmym4,High_binding
Fyco1,High_binding
Epha6,High_binding
Aatk,High_binding
Nr3c1,High_binding
Prkdc,High_binding
Wdr13,High_binding
Gabbr1,High_binding
Arhgap44,High_binding
Nbeal1,High_binding
Madd,High_binding
Ipo7,High_binding
Adcy5,High_binding
Susd4,High_binding
Pdzd8,High_binding
Dlgap2,High_binding
Plxna1,High_binding
Gpbp1,High_binding
Sacs,High_binding
Pik3c2a,High_binding
Clasp1,High_binding
Peg3,High_binding
Dyrk1a,High_binding
Cbl,High_binding
Mta1,High_binding
Pgm2l1,High_binding
Igip,High_binding
Rpsa,High_binding
Zfyve9,High_binding
Pik3r1,High_binding
Kndc1,High_binding
Myt1l,High_binding
Prkcz,High_binding
Maml2,High_binding
Klhl29,High_binding
Shoc2,High_binding
Thra,High_binding
Zdhhc8,High_binding
Vwa5b2,High_binding
Pcdh10,High_binding
Trpc5,High_binding
Wdr26,High_binding
Dicer1,High_binding
Dennd5b,High_binding
Acaca,High_binding
Ttc7b,High_binding
Grik4,High_binding
Rfwd2,High_binding
Cul3,High_binding
Tenm4,High_binding
Dip2c,High_binding
Smarca2,High_binding
Gnaq,High_binding
Mapk8ip2,High_binding
Phlpp1,High_binding
Nos1,High_binding
Gucy1a2,High_binding
Smarcc2,High_binding
Ube3a,High_binding
Aff3,High_binding
Arid1b,High_binding
Usp24,High_binding
AI314180,High_binding
Snph,High_binding
Arhgef12,High_binding
Hivep3,High_binding
Tab2,High_binding
Hcn1,High_binding
Scrt1,High_binding
Gtf3c2,High_binding
Pnpla8,High_binding
Pitpnm1,High_binding
Igsf11,High_binding
Mast1,High_binding
Plxnd1,High_binding
Gnas,High_binding
Pde4d,High_binding
Gnal,High_binding
Dusp8,High_binding
Gsk3b,High_binding
Nfia,High_binding
Cep170,High_binding
Epb41l4b,High_binding
Ankrd11,High_binding
Tenm2,High_binding
Mga,High_binding
Pikfyve,High_binding
Rtn4,High_binding
Usp15,High_binding
Epas1,High_binding
Rundc3a,High_binding
Rps20,High_binding
Ski,High_binding
Rusc2,High_binding
Kcnh5,High_binding
Snx5,High_binding
Jph4,High_binding
Agap1,High_binding
Wdr7,High_binding
Dab2ip,High_binding
Kcnq3,High_binding
Tln2,High_binding
Apc2,High_binding
Slc1a2,High_binding
Fmnl2,High_binding
Sbf2,High_binding
Tshz1,High_binding
Dnajc13,High_binding
Dagla,High_binding
Btbd3,High_binding
Qser1,High_binding
Rictor,High_binding
Tnrc6b,High_binding
Mta3,High_binding
Ssbp2,High_binding
Kcnb2,High_binding
Micu3,High_binding
D17Wsu92e,High_binding
Pcnx2,High_binding
Rfx7,High_binding
Tnrc18,High_binding
Usp29,High_binding
Lats2,High_binding
Spag9,High_binding
Trio,High_binding
Adgrl3,High_binding
Arrb1,High_binding
Rab11b,High_binding
Psme4,High_binding
Cyld,High_binding
Begain,High_binding
Fam135a,High_binding
Jak2,High_binding
Cacna1g,High_binding
Sap130,High_binding
Ralgps1,High_binding
Gtdc1,High_binding
Larp1,High_binding
Dzank1,High_binding
Pik3cb,High_binding
Scap,High_binding
Pdzd2,High_binding
D430041D05Rik,High_binding
Helz,High_binding
Abi2,High_binding
Synj1,High_binding
Dusp7,High_binding
Zfp266,High_binding
Ckap5,High_binding
Kif21b,High_binding
Grm5,High_binding
Ppp1r9a,High_binding
Agap3,High_binding
Cep126,High_binding
Mdga2,High_binding
Exoc6b,High_binding
Arhgap39,High_binding
Taok1,High_binding
Nedd4,High_binding
Unc13a,High_binding
Rasgrf2,High_binding
Med12l,High_binding
Slitrk5,High_binding
Ppp2r5c,High_binding
Rb1,High_binding
Sec16a,High_binding
Atxn1,High_binding
Gbf1,High_binding
Npat,High_binding
Mtss1l,High_binding
Fam91a1,High_binding
Neurl4,High_binding
Ylpm1,High_binding
Unc5a,High_binding
Strbp,High_binding
Zfp52,High_binding
Ltn1,High_binding
Dopey1,High_binding
Ppp2r2b,High_binding
Trpm7,High_binding
Rap1gap2,High_binding
Ap1b1,High_binding
Nlgn1,High_binding
Hs6st3,High_binding
Foxj2,High_binding
Map3k10,High_binding
Kifc2,High_binding
Rasa1,High_binding
Ppp3cb,High_binding
Nav1,High_binding
Myo18a,High_binding
Nwd2,High_binding
Plxna4,High_binding
Btbd7,High_binding
Camta1,High_binding
Rasl10b,High_binding
Zbtb4,High_binding
Sp3,High_binding
Dip2b,High_binding
Sema7a,High_binding
Palm,High_binding
Gnao1,High_binding
Syn1,High_binding
Fam208b,High_binding
Eef1a1,High_binding
Bcl9,High_binding
Pan3,High_binding
Mid2,High_binding
Ccdc74a,High_binding
Hdac5,High_binding
Man2a2,High_binding
Zdhhc2,High_binding
Sec14l1,High_binding
Senp3,High_binding
Pcnx3,High_binding
Brd4,High_binding
Mef2d,High_binding
Synrg,High_binding
Nlk,High_binding
Armcx2,High_binding
Fam135b,High_binding
Lifr,High_binding
Fgf13,High_binding
Taf2,High_binding
Atxn7l3,High_binding
Rbl2,High_binding
Sec23a,High_binding
Ppp3ca,High_binding
Maneal,High_binding
Psd3,High_binding
Tiam1,High_binding
Btbd1,High_binding
Pdpk1,High_binding
Usp7,High_binding
Ap2b1,High_binding
Mapk6,High_binding
Cdk19,High_binding
Tmtc1,High_binding
Gltscr1,High_binding
Raph1,High_binding
Fbrsl1,High_binding
Jmjd1c,High_binding
Cdk13,High_binding
Tnks2,High_binding
Phactr1,High_binding
Inpp4a,High_binding
March8,High_binding
Dock1,High_binding
St6gal2,High_binding
Cux2,High_binding
Lrrk2,High_binding
Grin3a,High_binding
Gabra4,High_binding
Satb1,High_binding
Tro,High_binding
Fbxl17,High_binding
Zfp664,High_binding
Camsap1,High_binding
Mical3,High_binding
Fbxo11,High_binding
Lhx2,High_binding
Brsk2,High_binding
Ptprd,High_binding
Smurf2,High_binding
Arhgef10l,High_binding
Ulk1,High_binding
Pcsk1n,High_binding
Plxna2,High_binding
Zc3h14,High_binding
Ntrk3,High_binding
Tnpo3,High_binding
Setd1b,High_binding
Eps15,High_binding
Epc2,High_binding
Tbc1d9,High_binding
Mfhas1,High_binding
Meis2,High_binding
Myh10,High_binding
Tbc1d14,High_binding
Slc30a9,High_binding
Tpgs2,High_binding
Copa,High_binding
Rnf44,High_binding
Ipo5,High_binding
Dio2,High_binding
Nacc1,High_binding
Fam19a5,High_binding
B4galt6,High_binding
Reps2,High_binding
Ago1,High_binding
Ccdc88a,High_binding
Ppard,High_binding
Tmcc2,High_binding
Ar,High_binding
Zfp518a,High_binding
Neto1,High_binding
Dcaf6,High_binding
Ell2,High_binding
Foxp1,High_binding
Slitrk3,High_binding
Inpp5a,High_binding
Nhsl2,High_binding
Hecw1,High_binding
Ptpra,High_binding
Eif4g3,High_binding
Abhd8,High_binding
R3hdm4,High_binding
Zfp462,High_binding
Ifnar1,High_binding
Zfp706,High_binding
Setd5,High_binding
Dlc1,High_binding
Fam126b,High_binding
Sash1,High_binding
Gse1,High_binding
N4bp1,High_binding
Dync2h1,High_binding
Eif4g1,High_binding
Kcnd2,High_binding
Adarb1,High_binding
Trim9,High_binding
Chd6,High_binding
Ccser2,High_binding
Rev3l,High_binding
Pip5k1b,High_binding
Clip3,High_binding
Ipo9,High_binding
Grm3,High_binding
Epn1,High_binding
Plxnc1,High_binding
Zfp207,High_binding
Igsf9b,High_binding
Wwc2,High_binding
Pigq,High_binding
Lrch3,High_binding
Lrrc8a,High_binding
Whsc1l1,High_binding
Atf2,High_binding
Zfp280d,High_binding
Rps24,High_binding
Pum1,High_binding
Heatr5b,High_binding
Dtx1,High_binding
Cacna1e,High_binding
Ppp1r16b,High_binding
Btaf1,High_binding
Wdr17,High_binding
5031439G07Rik,High_binding
Dennd4b,High_binding
Ptprn2,High_binding
Doc2b,High_binding
Wsb2,High_binding
Prelid1,High_binding
B3gat1,High_binding
Jph3,High_binding
Ctnnb1,High_binding
Slc30a4,High_binding
Map3k7,High_binding
Zfp91,High_binding
Prkrir,High_binding
Rtn2,High_binding
Sik3,High_binding
Atm,High_binding
Rock2,High_binding
Entpd4,High_binding
Krit1,High_binding
Zeb1,High_binding
Gpi1,High_binding
BC005537,High_binding
Dmwd,High_binding
Mink1,High_binding
Xpo1,High_binding
Ikzf5,High_binding
Ncdn,High_binding
Extl3,High_binding
Nlgn3,High_binding
Papola,High_binding
Ptchd1,High_binding
Tmem151b,High_binding
Sepp1,High_binding
Ppp1r13b,High_binding
Tbl1xr1,High_binding
Cdk12,High_binding
Ipo13,High_binding
Stk25,High_binding
Caskin1,High_binding
Atf7ip,High_binding
Taf4b,High_binding
